,error
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20660101-20701231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20660101-20701231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19810101-19851231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19810101-19851231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20160101-20201231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20160101-20201231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19610101-19651231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19610101-19651231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20310101-20351231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20310101-20351231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20860101-20901231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20860101-20901231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20060101-20101231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20060101-20101231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19660101-19701231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19660101-19701231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20760101-20801231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp45_r1i1p1_CCCma-CanRCM4_r2_day_20760101-20801231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20810101-20851231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_rcp85_r1i1p1_CCCma-CanRCM4_r2_day_20810101-20851231.nc'
/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19960101-20001231.nc,[Errno -51] NetCDF: Unknown file format: '/soge-home/projects/mistral/incoming_data/cordex-pr-afr/tasmax/AFR-44/tasmax_AFR-44_CCCma-CanESM2_historical_r1i1p1_CCCma-CanRCM4_r2_day_19960101-20001231.nc'
